ano,estado,projecao de populacao
2037,Ceará,9772281
2037,Rio Grande do Norte,3865144
2037,Paraíba,4261871
2037,Pernambuco,10312102
2037,Alagoas,3497601
2037,Sergipe,2569805
2037,Bahia,15335177
2037,Minas Gerais,22469965
2037,Espírito Santo,4659887
2037,Rio de Janeiro,18361396
2037,São Paulo,50643366
2037,Paraná,12473021
2037,Santa Catarina,8399227
2037,Rio Grande do Sul,11763729
2037,Mato Grosso do Sul,3216992
2037,Mato Grosso,4094768
2037,Goiás,8382474
2037,Distrito Federal,3585467
2038,Rondônia,2048511
2038,Acre,1086926
2038,Amazonas,5176569
2038,Roraima,832179
2038,Pará,9934265
2038,Amapá,1114930
2038,Tocantins,1837489
2038,Maranhão,7604454
2038,Piauí,3307039
2038,Ceará,9782155
2038,Rio Grande do Norte,3875180
2038,Paraíba,4264971
2038,Pernambuco,10329117
2038,Alagoas,3497815
2038,Sergipe,2578518
2038,Bahia,15318735
2038,Minas Gerais,22477805
2038,Espírito Santo,4684303
2038,Rio de Janeiro,18375931
2038,São Paulo,50779824
2038,Paraná,12499364
2038,Santa Catarina,8446582
2038,Rio Grande do Sul,11754603
2038,Mato Grosso do Sul,3234690
2038,Mato Grosso,4119984
2038,Goiás,8438672
2038,Distrito Federal,3607260
2039,Rondônia,2057168
2039,Acre,1095137
2039,Amazonas,5219919
2039,Roraima,840814
2039,Pará,9980050
2039,Amapá,1126929
2039,Tocantins,1846977
2039,Maranhão,7614618
2039,Piauí,3299804
2039,Ceará,9789317
2039,Rio Grande do Norte,3884099
2039,Paraíba,4266919
2039,Pernambuco,10343147
2039,Alagoas,3496909
2039,Sergipe,2586546
2039,Bahia,15297524
2039,Minas Gerais,22478907
2039,Espírito Santo,4707537
2039,Rio de Janeiro,18385689
2039,São Paulo,50902899
2039,Paraná,12522496
2039,Santa Catarina,8491935
2039,Rio Grande do Sul,11742344
2039,Mato Grosso do Sul,3251697
2039,Mato Grosso,4144322
2039,Goiás,8493054
2039,Distrito Federal,3627893
2040,Rondônia,2065315
2040,Acre,1103044
2040,Amazonas,5262059
2040,Roraima,849324
2040,Pará,10023188
2040,Amapá,1138677
2040,Tocantins,1856004
2040,Maranhão,7622718
2040,Piauí,3291628
2040,Ceará,9793834
2040,Rio Grande do Norte,3891897
2040,Paraíba,4267727
2040,Pernambuco,10354192
2040,Alagoas,3494895
2040,Sergipe,2593896
2040,Bahia,15271580
2040,Minas Gerais,22473382
2040,Espírito Santo,4729583
2040,Rio de Janeiro,18390776
2040,São Paulo,51012645
2040,Paraná,12542478
2040,Santa Catarina,8535304
2040,Rio Grande do Sul,11727042
2040,Mato Grosso do Sul,3268004
2040,Mato Grosso,4167749
2040,Goiás,8545629
2040,Distrito Federal,3647352
2041,Rondônia,2072942
2041,Acre,1110642
2041,Amazonas,5302957
2041,Roraima,857716
2041,Pará,10063691
2041,Amapá,1150166
2041,Tocantins,1864567
2041,Maranhão,7628776
2041,Piauí,3282479
2041,Ceará,9795742
2041,Rio Grande do Norte,3898577
2041,Paraíba,4267396
2041,Pernambuco,10362239
2041,Alagoas,3491771
2041,Sergipe,2600559
2041,Bahia,15241004
2041,Minas Gerais,22461334
2041,Espírito Santo,4750444
2041,Rio de Janeiro,18391358
2041,São Paulo,51109151
2041,Paraná,12559307
2041,Santa Catarina,8576731
2041,Rio Grande do Sul,11708791
2041,Mato Grosso do Sul,3283622
2041,Mato Grosso,4190263
2041,Goiás,8596405
2041,Distrito Federal,3665603
2042,Rondônia,2080046
2042,Acre,1117921
2042,Amazonas,5342574
2042,Roraima,865988
2042,Pará,10101541
2042,Amapá,1161390
2042,Tocantins,1872665
2042,Maranhão,7632854
2042,Piauí,3272365
2042,Ceará,9795059
2042,Rio Grande do Norte,3904155
2042,Paraíba,4265937
2042,Pernambuco,10367287
2042,Alagoas,3487534
2042,Sergipe,2606540
2042,Bahia,15205888
2042,Minas Gerais,22442963
2042,Espírito Santo,4770126
2042,Rio de Janeiro,18387586
2042,São Paulo,51192586
2042,Paraná,12573062
2042,Santa Catarina,8616285
2042,Rio Grande do Sul,11687777
2042,Mato Grosso do Sul,3298572
2042,Mato Grosso,4211891
2042,Goiás,8645354
2042,Distrito Federal,3682634
2043,Rondônia,2086640
2043,Acre,1124876
2043,Amazonas,5380889
2043,Roraima,874130
2043,Pará,10136721
2043,Amapá,1172345
2043,Tocantins,1880302
2043,Maranhão,7634936
2043,Piauí,3261348
2043,Ceará,9791826
2043,Rio Grande do Norte,3908642
2043,Paraíba,4263380
2043,Pernambuco,10369343
2043,Alagoas,3482188
2043,Sergipe,2611852
2043,Bahia,15166238
2043,Minas Gerais,22418462
2043,Espírito Santo,4788638
2043,Rio de Janeiro,18379573
2043,São Paulo,51263186
2043,Paraná,12583881
2043,Santa Catarina,8654030
2043,Rio Grande do Sul,11664233
2043,Mato Grosso do Sul,3312848
2043,Mato Grosso,4232637
2043,Goiás,8692452
2043,Distrito Federal,3698469
2044,Rondônia,2092729
2044,Acre,1131507
2044,Amazonas,5417887
2044,Roraima,882130
2044,Pará,10169203
2044,Amapá,1183015
2044,Tocantins,1887474
2044,Maranhão,7634954
2044,Piauí,3249476
2044,Ceará,9786100
2044,Rio Grande do Norte,3912024
2044,Paraíba,4259719
2044,Pernambuco,10368383
2044,Alagoas,3475744
2044,Sergipe,2616494
2044,Bahia,15122024
2044,Minas Gerais,22387961
2044,Espírito Santo,4805975
2044,Rio de Janeiro,18367369
2044,São Paulo,51321077
2044,Paraná,12591854
2044,Santa Catarina,8689972
2044,Rio Grande do Sul,11638264
2044,Mato Grosso do Sul,3326410
2044,Mato Grosso,4252454
2044,Goiás,8737674
2044,Distrito Federal,3713123
2045,Rondônia,2098307
2045,Acre,1137820
2045,Amazonas,5453552
2045,Roraima,889982
2045,Pará,10198997
2045,Amapá,1193397
2045,Tocantins,1894176
2045,Maranhão,7632911
2045,Piauí,3236752
2045,Ceará,9777877
2045,Rio Grande do Norte,3914280
2045,Paraíba,4254930
2045,Pernambuco,10364406
2045,Alagoas,3468233
2045,Sergipe,2620468
2045,Bahia,15073291
2045,Minas Gerais,22351612
2045,Espírito Santo,4822145
2045,Rio de Janeiro,18351047
2045,São Paulo,51366301
2045,Paraná,12597005
2045,Santa Catarina,8724096
2045,Rio Grande do Sul,11609937
2045,Mato Grosso do Sul,3339241
2045,Mato Grosso,4271287
2045,Goiás,8780975
2045,Distrito Federal,3726600
2046,Rondônia,2103370
2046,Acre,1143815
2046,Amazonas,5487876
2046,Roraima,897687
2046,Pará,10226126
2046,Amapá,1203492
2046,Tocantins,1900401
2046,Maranhão,7628807
2046,Piauí,3223152
2046,Ceará,9767129
2046,Rio Grande do Norte,3915401
2046,Paraíba,4249005
2046,Pernambuco,10357414
2046,Alagoas,3459661
2046,Sergipe,2623766
2046,Bahia,15020105
2046,Minas Gerais,22309504
2046,Espírito Santo,4837165
2046,Rio de Janeiro,18330739
2046,São Paulo,51398888
2046,Paraná,12599318
2046,Santa Catarina,8756398
2046,Rio Grande do Sul,11579320
2046,Mato Grosso do Sul,3351345
2046,Mato Grosso,4289144
2046,Goiás,8822329
2046,Distrito Federal,3738900
2047,Rondônia,2107922
2047,Acre,1149489
2047,Amazonas,5520840
2047,Roraima,905234
2047,Pará,10250595
2047,Amapá,1213300
2047,Tocantins,1906149
2047,Maranhão,7622680
2047,Piauí,3208684
2047,Ceará,9753853
2047,Rio Grande do Norte,3915396
2047,Paraíba,4241983
2047,Pernambuco,10347405
2047,Alagoas,3450030
2047,Sergipe,2626387
2047,Bahia,14962522
2047,Minas Gerais,22261758
2047,Espírito Santo,4851048
2047,Rio de Janeiro,18306527
2047,São Paulo,51419021
2047,Paraná,12598861
2047,Santa Catarina,8786906
2047,Rio Grande do Sul,11546529
2047,Mato Grosso do Sul,3362728
2047,Mato Grosso,4306064
2047,Goiás,8861729
2047,Distrito Federal,3750030
2048,Rondônia,2111959
2048,Acre,1154836
2048,Amazonas,5552396
2048,Roraima,912607
2048,Pará,10272374
2048,Amapá,1222818
2048,Tocantins,1911418
2048,Maranhão,7614564
2048,Piauí,3193390
2048,Ceará,9738051
2048,Rio Grande do Norte,3914271
2048,Paraíba,4233897
2048,Pernambuco,10334368
2048,Alagoas,3439343
2048,Sergipe,2628337
2048,Bahia,14900565
2048,Minas Gerais,22208509
2048,Espírito Santo,4863795
2048,Rio de Janeiro,18278453
2048,São Paulo,51426883
2048,Paraná,12595699
